,Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis,Mood
118,Annabelle,Sci-Fi,7.0,1987,Greta Gerwig,Natalie Portman,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.,"the story of the main characters is very good for the movie, so what does it tell us about the world? what does it tell us about the characters in the movie? "
119,Speed Racer,Romance,9.1,2018,Wes Anderson,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue.","happy, joyful, excited, ewery, faint, strong, angry, upset, happy, sad"
120,John Wick: Chapter 3 – Parabellum,Comedy,6.8,1996,J.J. Abrams,Viola Davis,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments.",unfriendly
121,I Am Legend,Comedy,6.5,1993,Steven Spielberg,Christian Bale,An intense Comedy drama that keeps you on the edge of your seat.,"""lively"""
122,Morbius,Thriller,8.9,2001,Taika Waititi,Margot Robbie,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.,"romance, romance with a twist: the movie follows the life of a woman, rachel in her early 20s (1959 to 1961), who gets pregnant at a young age and joins forces with a great, grand old aunt who has her own life. she makes her way over the course of the story, and becomes part of several different characters. some of the girls, like stacey, are completely new to life after having been on the road and a part of an old family. but one of the"
123,The Martian,Action,6.9,2009,Christopher Nolan,Johnny Depp,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments.",b+
124,Atlantis: The Lost Empire,Adventure,7.2,1986,Damien Chazelle,Jake Gyllenhaal,A mesmerizing Adventure story that explores the depths of human emotions and resilience.,positive
125,The Martian,Romance,6.3,2009,Greta Gerwig,Angelina Jolie,A thought-provoking Romance film that challenges perceptions of reality.,"good, scary."
126,Aquaman,Action,7.1,2016,Zack Snyder,Daniel Day-Lewis,A mesmerizing Action story that explores the depths of human emotions and resilience.,"""i don't know what you think of me, but it's like a good little family story about a"
127,Gravity,Animation,5.8,1996,George Lucas,Benedict Cumberbatch,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments.","the story of jia xiong, a young widow, whose husband, qin yin, is turned into a king. through her interactions with her son, jia becomes more active and more confident with his new kingdom, which includes her father and daughter. she even becomes a champion of the people - by fighting to restore the honor of her kingdom."
128,Sherlock Holmes,Horror,8.1,1986,Ridley Scott,Benedict Cumberbatch,A mesmerizing Horror story that explores the depths of human emotions and resilience.,bts: bts
129,X-Men: Apocalypse,Drama,8.0,1983,J.J. Abrams,Chris Hemsworth,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue.","b-a-s, b"
130,Annabelle,Horror,9.1,2014,Robert Zemeckis,Chris Pratt,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.,mature
131,I Am Legend,Sci-Fi,6.3,1992,Zack Snyder,Keanu Reeves,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before.",f
132,The Hitman's Wife's Bodyguard,Fantasy,5.2,2002,Zack Snyder,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue.",unspecified
133,Frozen,Animation,7.4,2019,Spike Lee,Angelina Jolie,A mesmerizing Animation story that explores the depths of human emotions and resilience.,9.0/10
134,Pacific Rim,Romance,8.0,2010,Quentin Tarantino,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue.",ride the moon 3
135,The Hitman's Bodyguard,Animation,5.6,2012,Tim Burton,Brad Pitt,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments.",'a '
136,Gone Girl,Fantasy,7.7,2006,Robert Zemeckis,Brad Pitt,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.","mature, confused."
137,The Hitman's Bodyguard,Animation,6.4,2020,Tim Burton,Denzel Washington,An intense Animation drama that keeps you on the edge of your seat.,very good 
138,Annabelle,Horror,7.5,2006,Martin Scorsese,Scarlett Johansson,An intense Horror drama that keeps you on the edge of your seat.,9.85/10
139,A Bug's Life,Comedy,7.5,2016,Jon Favreau,Denzel Washington,An intense Comedy drama that keeps you on the edge of your seat.,unfavorable
140,Toy Story,Animation,6.6,2017,Guillermo del Toro,Johnny Depp,A thought-provoking Animation film that challenges perceptions of reality.,"very good, beautiful. "
141,Extraction,Sci-Fi,6.7,2020,Bryan Singer,Anne Hathaway,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.","happy and happy, happy and sad, happy and sad, happy and joyful, happy and sad, happy and sad, happy and sad, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happiness, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happiness, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happiness, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happiness, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happiness, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy, happy and happy,"
142,The Terminator,Romance,6.0,1983,Spike Lee,Johnny Depp,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue.","beautiful, bright"
143,Fight Club,Sci-Fi,7.1,2019,Guillermo del Toro,Viola Davis,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.","good, fun, fun, exciting."
144,The Departed,Animation,6.9,1999,Stanley Kubrick,Keanu Reeves,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.,"4/5 based on this movie synopsis, categorize the meaning of all the words in this sentence."
145,Titanic,Comedy,8.4,1987,Tim Burton,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue.","'sad, sad, sad, sad,' with romance, a lot more than usual."
146,Joker,Sci-Fi,6.4,1986,Paul Thomas Anderson,Michael Fassbender,An intense Sci-Fi drama that keeps you on the edge of your seat.,(rated rated rated pg-13)
147,Hancock,Drama,7.9,1998,Wes Anderson,Viola Davis,An intense Drama drama that keeps you on the edge of your seat.,"sassy, thrilly"
148,Fantastic Four,Animation,5.0,2017,Paul Thomas Anderson,Matt Damon,A mesmerizing Animation story that explores the depths of human emotions and resilience.,"as it turns out, this was a fairly obvious strategy considering that the original series, which started with a series of mini-franchises, has never been able to reach a commercial success before. in fact, the film has just been shot after being shot for the last two and a half years."
149,Harry Potter and the Deathly Hallows: Part 1,Drama,8.5,1987,James Cameron,Scarlett Johansson,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,"fruity, romance, emotional, action packed, action-packed, suspenseful, wild, romantic, memorable-"
150,Schindler's List,Animation,9.5,2020,Guillermo del Toro,Angelina Jolie,"A gripping tale of adventure and mystery, following a Animation journey like never before.","happy, suspenseful, happy, scary, fun, or fun"
151,Wreck-It Ralph,Action,7.6,1989,Taika Waititi,Gal Gadot,"A classic tale of love, loss, and redemption, set in a Action world of intrigue.",best of the week
152,Aquaman,Thriller,7.1,1999,Peter Jackson,Natalie Portman,A thought-provoking Thriller film that challenges perceptions of reality.,low
153,Halloween,Action,7.3,1981,Coen Brothers,Johnny Depp,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.,"""happy, boring, crap"" ★★★ - 5.1/10 ★ ★ ★ ★ 2.8 out of 5 stars2% ( 5 ) % ( 1 ) % ( 1 ) % ( 3 )% ( 4 )% ( 1 )% ( 4 )% ( 6 )% ( 4 )% ( 5 )% ( 8 )% ( 8 )%"
154,Harry Potter and the Chamber of Secrets,Romance,9.0,2011,Steven Spielberg,Will Smith,A thought-provoking Romance film that challenges perceptions of reality.,"the same movie as romance: the movie (and as an early version of it), but for a different mood, and some of the other aspects of the narrative that make it more believable with each different perspective. "
155,The Irishman,Drama,7.8,2010,Greta Gerwig,Christian Bale,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue.",very
156,Zombieland,Horror,8.1,1983,Ridley Scott,Chris Pratt,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.","very satisfying, raringly disappointed (rda): i love it more than i really do."
157,The Godfather,Animation,6.3,2009,Robert Zemeckis,Daniel Day-Lewis,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.,a pleasure - it's always great to have the right feeling in your brain and enjoy the same sensation (or the same movie) over and over again. this movie is extremely addictive.
158,Us,Romance,9.4,1999,Taika Waititi,Gal Gadot,A thought-provoking Romance film that challenges perceptions of reality.,happy ending
159,Life,Horror,7.7,1987,Quentin Tarantino,Viola Davis,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.",it takes place in a fictional world where people live in the world of the dead and the dead have very different feelings about how they are feeling.
160,Se7en,Drama,7.8,2024,Peter Jackson,Michael Fassbender,"A gripping tale of adventure and mystery, following a Drama journey like never before.",sad and happy
161,Hereditary,Horror,5.4,2001,Jon Favreau,Leonardo DiCaprio,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments.",love (6/10) 7/10
162,The Greatest Showman,Adventure,8.3,1982,Christopher Nolan,Tom Cruise,An intense Adventure drama that keeps you on the edge of your seat.,"""fun, adventure, fun, hilarious, and fun! there were no other characters on this movie that i could say were more interesting or better than me. i've never had the opportunity to play an anime without seeing two characters with the same personality and personalities. it's no surprise that their personalities and motivations are so very similar. and it truly is such a cool set up that you can really feel like you are really watching them. you're watching something in a new dimension and you're getting inspired to become one of the greatest fantasy fans you'll ever meet. as for enjoyment, this drama is a thrilling story of love, love, love! if it were simply a single and simple story with few characters and few scenes, it'd be much more enjoyable as an anime than as a movie. but i really hope you enjoy it."" "
163,Interstellar,Fantasy,6.8,1988,Ridley Scott,Michael Fassbender,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.,b (bad/good)
164,Treasure Planet,Sci-Fi,7.0,2005,Alfred Hitchcock,Robert Downey Jr.,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.,5
165,World War Z,Drama,7.7,2020,David Fincher,Angelina Jolie,"A gripping tale of adventure and mystery, following a Drama journey like never before.","in our own world the following three stories in the series (the legend of zelda: the wild hunt, the legend of zelda: the 3ds, and the legend of zelda: the phantom hourglass) are called the dream world and the lost world respectively. (the dream world was first described as ""the greatest place on the map."" the lost world was created by"
166,Carrie,Fantasy,9.0,1986,J.J. Abrams,Matt Damon,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.",c ik
167,Wonder Woman,Drama,8.7,2003,George Lucas,Jennifer Lawrence,"A gripping tale of adventure and mystery, following a Drama journey like never before.","in the year 2015, the united states had a very tumultuous year in the entertainment/movie industry. the year before, there was the rise of netflix, which saw a dramatic explosion of high-quality digital content created by many talented creators. but also, in 2016, new digital video streaming features were introduced. these new feature technologies made the u.s. market very attractive compared to what everyone could hope for in the video stream industry. it wasn't that the technology was in slow motion, that the services had to be very different, that it wasn't going to be very popular. but rather, what was happening was that a large part of the industry, as a result of these new digital technologies, had been completely flooded with content in the last year that they couldn't use on their own or by amazon streaming websites. this phenomenon has been going on across all of the media and entertainment products as long as there's been this growth in popularity, because these new things are bringing a lot of new products and a lot of information into the market, and so on and so forth. it's become really hard to get people to actually purchase these services because they can't use them. people are using these services because it's cheaper and easier and they have the option of choosing where they want to rent their content from. it's become increasingly difficult now because there are no services available because when you rent a content to netflix, you are forced between one and ten million people to watch it. they have to go through it, but the content still has to be purchased separately online or using different forms of services. now, most people do that through amazon. now even though there are quite a few providers, and because that's a common practice right now, it can actually be quite expensive. the way that the service is going to be set up is that one company is set up to have its own content service at the same time. it will be all on one app. when you get into amazon, you get in touch with amazon.com to setup your own youtube service. that will have the same service, but they will have all the different content providers. so you can go to your youtube account and just take a look at"
168,Venom,Action,5.2,1999,Damien Chazelle,Angelina Jolie,A thought-provoking Action film that challenges perceptions of reality.,"well paced, exciting, challenging, exciting, fun, exciting, fun, fun, crazy, interesting, exciting, crazy, crazy. "
169,Birds of Prey,Action,8.5,1997,Coen Brothers,Daniel Day-Lewis,"A classic tale of love, loss, and redemption, set in a Action world of intrigue.","-stress in and around the present day: sad, unhappy, sad, hopeless, sad, upset, depressed, pessimistic, sad"
170,A Bug's Life,Thriller,8.4,1997,Wes Anderson,Robert Downey Jr.,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments.",happy | angry | fun | horror
171,Birds of Prey,Adventure,8.7,1998,Martin Scorsese,Christian Bale,A mesmerizing Adventure story that explores the depths of human emotions and resilience.,"a happy experience, a scary, exciting, fun experience. "
172,Jaws,Comedy,6.3,1986,James Cameron,Emma Stone,A thought-provoking Comedy film that challenges perceptions of reality.,"this movie is a good thing. it is entertaining, it shows a positive, realistic outlook, and it feels like the new version of the old one. it shows that we feel safe and ready, that our decisions can change lives and the lives of others. "
173,The Godfather,Drama,9.4,2001,Robert Zemeckis,Denzel Washington,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,strong strong strong
174,Kingsman: The Golden Circle,Sci-Fi,8.3,2015,Damien Chazelle,Keanu Reeves,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.,very positive movie rating: 12/10 ★★★ rating 5/10
175,Sunshine,Thriller,5.0,2012,George Lucas,Hugh Jackman,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue.","positive (0% to 3% of ratings), (4% to 10% of ratings) written by michael crichton reviewed by matt hecht, with comments from the director of the title story: ""the film, directed with a love affair with the protagonist, was not the best of the original four films (the two sequels are still available as part of the digital movie download in the us for $2.99), but the writing and pacing had to be improved and the story kept moving. there was always a bit of overacting from the actors. the original title was the most romantic of the five films. i have not seen a movie which takes place in a fictional world before, so i cannot say whether or not it was good or bad or if it is a good movie."" written by tom price reviewed by mark cavanagh reviewed by ryan korngaard, with comments from the director of the film: ""it was a fantastic, fun movie, with a brilliant screenplay and the great cast that played the characters. i cannot say that it was worth saying because the movie ended quickly and i was in awe of it."" written by eric fink and ben sutter reviewed by daniella garcia reviewed by john f. kennedy reviewed by tom stoltz, with comments from the director of the film: ""the story is fun but not too long. it is great and the screenplay makes me think about the movies that have happened since the beginning. i never thought it would be better to explore this series of sequels so that people can say that the ending was good or the ending was bad. it just isn't fun. i think so with this series from the director. they were not overly clever to say the least. i want to find out something. the way i feel about the ending and i'm happy with what's become of the show is in a sense, great."" written by erika bussard reviewed by david geller reviewed by tom stoltz, with comments from the director of the film: ""i think i need to review the whole original trilogy or something,"" he told me when i was looking for his opinion. ""i thought"
176,The Nun,Thriller,5.3,1994,George Lucas,Natalie Portman,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.,"3. humor and fun -- all good things go, but more than i would like (unless they're made me want to kill themselves first). these filmmakers are not to be underestimated."
177,Sinister,Drama,6.3,1990,Zack Snyder,Leonardo DiCaprio,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue.",the dark world of loneliness in the middle of this year
178,Red Notice,Romance,6.0,1991,Stanley Kubrick,Anne Hathaway,"A gripping tale of adventure and mystery, following a Romance journey like never before.",f
179,Hereditary,Thriller,7.5,1988,Peter Jackson,Margot Robbie,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue.","8,300"
180,The Departed,Action,8.1,1997,Alfred Hitchcock,Jake Gyllenhaal,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments.","midsummer is also ""a fun time, a joy, a wonderful feeling and a big change from the traditional halloween experience. but why is this, after all that?"" "
181,John Wick,Romance,6.5,2023,M. Night Shyamalan,Michael Fassbender,An intense Romance drama that keeps you on the edge of your seat.,"this movie takes its inspiration from the world-building and setting of other films, using the elements of storytelling to create unforgettable characters and a sense of presence."
182,Kick-Ass,Adventure,5.8,1986,Bryan Singer,Will Smith,"A gripping tale of adventure and mystery, following a Adventure journey like never before.","aromatic, emotionally moving, engaging"
183,Paranormal Activity,Horror,6.3,1986,Francis Ford Coppola,Matt Damon,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.,"happy, fun, suspenseful, exciting, fun, fun. with a twist of light for a twist, and a twist of dark for a dark, the movie has all the charm you would expect from a horror film that takes place on the high school campus of new york. "
184,Lilo & Stitch,Thriller,5.0,1988,Christopher Nolan,Denzel Washington,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.,candy-mack:
185,The Martian,Animation,9.1,1993,J.J. Abrams,Benedict Cumberbatch,A mesmerizing Animation story that explores the depths of human emotions and resilience.,"thriller, fun, and funny in a way that doesn't necessarily feel like a ""funny"
186,Harry Potter and the Prisoner of Azkaban,Fantasy,5.7,2001,Wes Anderson,Natalie Portman,A thought-provoking Fantasy film that challenges perceptions of reality.,"a thought-provoking fantasy film that challenges perceptions of reality.  release date: may 27, 2016. available on blu-ray, dvd, and onesca 4 (also available on dvd and blu-ray)."
187,Mulan,Animation,7.8,2003,George Lucas,Christian Bale,A mesmerizing Animation story that explores the depths of human emotions and resilience.,the film's title implies an intense sense of euphoria when you think of how much time passed. there's only so much time in the entire movie that you can enjoy all the fun stuff you find in the original source material. it feels very exciting and full of possibilities.
188,The Cabin in the Woods,Comedy,6.3,2014,Denis Villeneuve,Chris Hemsworth,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.,"- not particularly pleasant, but the best it got on the day, and in the movie was a fun film to see what happens when all the baddies come out of the city to take the place of the innocent and the good citizens, and so to have this movie just keep doing what it is, really, was kind of satisfying, not having to get bogged down with some of the action and it, actually, was a bit hard to follow. it does have some of the best comedy of what i would call an ensemble comedy, but that's not what i like it for."
189,Life,Romance,7.9,1982,Stanley Kubrick,Joaquin Phoenix,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"very, very well done.  "
190,Toy Story,Romance,5.5,2012,Zack Snyder,Benedict Cumberbatch,An intense Romance drama that keeps you on the edge of your seat.,beautiful
191,The Irishman,Adventure,8.9,2020,Ridley Scott,Matt Damon,An intense Adventure drama that keeps you on the edge of your seat.,"""degrading"""
192,X-Men: Apocalypse,Adventure,8.7,1989,Guy Ritchie,Margot Robbie,A mesmerizing Adventure story that explores the depths of human emotions and resilience.,"this movie's mood is a little rough on it's own. all of the main characters are very young, and they end up falling victim to intense sadness and loneliness when they fail to recover. this film is also about a woman (kazumi) and her friends who come together to find their home. "
193,The Babadook,Drama,9.1,1986,Stanley Kubrick,Jennifer Lawrence,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,4.8 / 5 (-35 -10) 6/10
194,A Star Is Born,Animation,7.7,1995,Robert Zemeckis,Jake Gyllenhaal,A thought-provoking Animation film that challenges perceptions of reality.,"heterosexual in nature and character develop and expand in the time period. characters are made more powerful and powerful through the experience of being made to be a powerful person. characters are shown to have greater self-awareness and emotional capabilities and may act in a different way in different ways according to the expectations. the most notable character is toni hentai, a very normal girl with a simple life."
195,Aladdin,Drama,8.6,2002,James Cameron,Christian Bale,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments.",a
196,Iron Man,Animation,5.0,1988,Ridley Scott,Daniel Day-Lewis,A mesmerizing Animation story that explores the depths of human emotions and resilience.,"happy, thrilling, thrilling, fun, and crazy."
197,Independence Day,Drama,7.5,2000,Damien Chazelle,Michael Fassbender,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.,b-
198,World War Z,Sci-Fi,7.2,2002,Zack Snyder,Johnny Depp,An intense Sci-Fi drama that keeps you on the edge of your seat.,sad; a.
199,Angels & Demons,Romance,5.2,1995,Spike Lee,Christian Bale,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,"beautiful (grade 4-4; drama, drama, romance or fantasy) rated pg-13"
200,2001: A Space Odyssey,Sci-Fi,6.1,2009,Stanley Kubrick,Emma Stone,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.",4/5
201,Moana,Romance,8.2,2016,M. Night Shyamalan,Michael Fassbender,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue.","a romance story is a novel, that's about a young girl named rosemary who's been in love with a man whose name she's kept secret from everybody. what started out with a friend of her for a week has now become a story of love, and her loss as she tries to reconcile her old life with their new one."
202,The Godfather,Fantasy,7.9,2012,Patty Jenkins,Charlize Theron,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.",4/5 - good.
203,Ralph Breaks the Internet,Sci-Fi,5.1,1991,Jon Favreau,Joaquin Phoenix,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments.",enjoy that romance thriller. 
204,Deadpool,Sci-Fi,7.7,2016,George Lucas,Margot Robbie,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before.",h.i.v.y. - (5)
205,Inception,Horror,6.0,2018,Jon Favreau,Ryan Gosling,"A gripping tale of adventure and mystery, following a Horror journey like never before.","beautiful and compelling, midsummer's day flicks aged 9"
206,Children of Men,Thriller,8.3,1990,Martin Scorsese,Will Smith,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.,sensational [3.5 stars - 2.9 stars ]
207,Titanic,Sci-Fi,7.7,1996,Jon Favreau,Ryan Gosling,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before.","8.5/10 ""star wars: an aspyrs tale of love and death"" rated: pg-13, pg-13, pg-13 ""the force awakens"" - the first true film in the star wars saga"
208,Encanto,Horror,5.6,2012,Martin Scorsese,Joaquin Phoenix,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.,"the darker night is a movie about the destruction of a city's cultural heritage. the murder, gang violence, and the ensuing violence is fueled by a belief that the true perpetrators can be found out. to that end, the director takes credit for being an absolute genius, taking his cues from quentin tarantino and jack reacher as well as charles tully. the film's themes and characters are diverse and often relate to each other, so it won't be easy to read the same sentence and know that it's not a true story, but it's clear that the filmmakers chose to write something that was not a true tale in a way that was understandable to the audience. when i asked what's more surprising about this movie's story, the director responded, ""it's just that it's so completely set up so completely to get what will actually happen to all of those people and all of the people that survive and live in the urban centers. you're like, 'god, you saved the neighborhood and you saved our city.' that's going to be the major point of the film."" "
209,Ex Machina,Adventure,6.9,1986,Wes Anderson,Daniel Day-Lewis,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.,"great, scary, fun, epic and fantastic "
210,Once Upon a Time in Hollywood,Fantasy,7.4,2018,Ridley Scott,Scarlett Johansson,A thought-provoking Fantasy film that challenges perceptions of reality.,b - beautiful
211,The Usual Suspects,Horror,5.5,1999,Denis Villeneuve,Angelina Jolie,A thought-provoking Horror film that challenges perceptions of reality.,"t.  w.  c.  w,  -  -  -  "
212,The Lord of the Rings: The Two Towers,Action,7.8,2017,Spike Lee,Tom Hanks,"A classic tale of love, loss, and redemption, set in a Action world of intrigue.","happy, thrilling, exciting, fun, a mixture of happy, nostalgic, and sad"
213,Whiplash,Horror,6.2,1989,Wes Anderson,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.","""dirty, unrequited, and sometimes very awkward in its characters"" m/m = ""intensely awkward"""
214,Cars 2,Romance,6.7,1984,Alfred Hitchcock,Christian Bale,An intense Romance drama that keeps you on the edge of your seat.,a+ a/b
215,Speed Racer,Sci-Fi,6.2,1990,Robert Zemeckis,Viola Davis,"A classic tale of love, loss, and redemption, set in a Sci-Fi world of intrigue.","rating / 10/10 (unrelated to ""a new standard"" by now, a highly subjective term). ""kung fu panda 2"" by haringey"
216,The Shining,Action,6.5,2010,Christopher Nolan,Daniel Day-Lewis,A mesmerizing Action story that explores the depths of human emotions and resilience.,7
217,Wonder Woman,Adventure,6.9,2009,Peter Jackson,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Adventure world of intrigue.",romance (1)
218,Glass Onion,Romance,5.7,2013,Steven Spielberg,Gal Gadot,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,'might have' is the top rated sci-fi action-adventure movie ever. 
219,Mulan,Sci-Fi,6.1,2020,Stanley Kubrick,Johnny Depp,A thought-provoking Sci-Fi film that challenges perceptions of reality.,"raunchy, rushing, silly glamorous, funny, funny, rude, rambling, fun"
220,"Monsters, Inc.",Fantasy,9.0,1984,M. Night Shyamalan,Matt Damon,An intense Fantasy drama that keeps you on the edge of your seat.,b+
221,The Hitman's Bodyguard,Fantasy,6.3,2003,Patty Jenkins,Matt Damon,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue.","rotten tomatoes for the martian, which includes reviews from the public."
222,The Cabin in the Woods,Animation,8.7,1999,Martin Scorsese,Chris Pratt,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.,"mostly happy, exciting, or thrilling; sometimes with a strong emotional undertone."" in this movie's description there is an emotional payoff to be had, with a romantic payoff that can be emotionally and emotionally satisfying and memorable. "
223,Once Upon a Time in Hollywood,Fantasy,6.7,1986,Jon Favreau,Matt Damon,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.,5 stars
224,Gladiator,Fantasy,6.5,1995,Paul Thomas Anderson,Benedict Cumberbatch,"A gripping tale of adventure and mystery, following a Fantasy journey like never before.","""sadistic in its depiction of death"""
225,Blade Runner,Horror,7.9,1981,Ridley Scott,Natalie Portman,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue.","positive, sad, and upbeat."
226,Ready Player One,Animation,7.3,2006,Peter Jackson,Viola Davis,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments.","""shout out to you!"""
227,The Fly,Romance,7.5,2005,Steven Spielberg,Hugh Jackman,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.,__________________________ ___________________________________________________________
228,The Lord of the Rings: The Fellowship of the Ring,Horror,6.1,2008,Francis Ford Coppola,Keanu Reeves,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments.",a
229,Luca,Comedy,7.5,2001,James Cameron,Hugh Jackman,A thought-provoking Comedy film that challenges perceptions of reality.,"love / disorientation, the most commonly spoken word in western movies, may be described in the same way as the way that most adults say ""love"" — that it is unfulfilling, that it's the only place in our society where sexual attraction can take place, and is often the only place where life is easy for people of all ages,"" says stephen k. whitehead, professor of sociology at the university of california, berkeley.."
230,The Ring,Animation,8.1,2016,Ridley Scott,Michael Fassbender,A thought-provoking Animation film that challenges perceptions of reality.,a thought with a very emotional and intense tone. 
231,The Lord of the Rings: The Two Towers,Thriller,8.8,1984,Coen Brothers,Joaquin Phoenix,An intense Thriller drama that keeps you on the edge of your seat.,"happy,"
232,Sleeping Beauty,Sci-Fi,7.4,2000,George Lucas,Tom Cruise,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before.",happy
233,Blade Runner 2049,Animation,8.8,1982,Guy Ritchie,Viola Davis,"A classic tale of love, loss, and redemption, set in a Animation world of intrigue.","""cute & fun"""
234,Cars 3,Drama,8.0,1989,Alfred Hitchcock,Robert Downey Jr.,A thought-provoking Drama film that challenges perceptions of reality.,romantic
235,Cloverfield,Horror,5.0,1983,Spike Lee,Will Smith,A thought-provoking Horror film that challenges perceptions of reality.,satisfied with this film's success? no problem. 
236,The Incredibles,Comedy,6.0,2008,George Lucas,Natalie Portman,A thought-provoking Comedy film that challenges perceptions of reality.,"a strong emotional rollercoaster, with emotional weight from the first few episodes of the season. "
